Prof Name,VASUD,WIBOPO,SORAGL,KASESI,CHAIJE,WANDPE,PAKOWA,KANKKH,TERMPE,BOONSU,PONRNE,CHAINU,CHALSR,URASBU,PORAAS,WORNCH,PINMKW,PARITU,RATRSI,THIPLI,JIRASI,NIDALA,TITHSA,PATCMU,OACHPA,JANTPH,PRAPUP,WORAWO,PAIBPA,VARAKI,VEERPE,TEERTI,SARIVI,DUANPR,TIYAKA,JIRASI,JAKASU,CHAIPR,AUCHRE,AUCHSR,SAKCTA,THITCH,VIJISU,VARARU,RATASU,MERIMA,CHUTCH,SORAKU,AUMPJU,APISKE,BUSAPI
หลักสูตรวิศวกรรมศาสตรบัณฑิต สาขาวิชาวิศวกรรมการบินและนักบินพาณิชย์,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
หลักสูตรวิทยาศาสตรมหาบัณฑิต สาขาวิชาเกษตรศาสตร์,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
หลักสูตรวิทยาศาสตรมหาบัณฑิต สาขาวิชาเทคโนโลยีชีวภาพทางการเกษตร,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
หลักสูตรวิทยาศาสตรมหาบัณฑิต สาขาวิชาวิทยาศาสตร์การประมง,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
หลักสูตรวิทยาศาสตรมหาบัณฑิต สาขาวิชาพัฒนาการเกษตรและการจัดการทรัพยากร,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
หลักสูตรวิทยาศาสตรมหาบัณฑิต สาขาวิชาพืชสวน,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
หลักสูตรวิทยาศาสตรมหาบัณฑิต สาขาวิชาสัตวศาสตร์,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
หลักสูตรปรัชญาดุษฎีบัณฑิต สาขาวิชาเกษตรศาสตร์,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
หลักสูตรวิศวกรรมศาสตรบัณฑิต สาขาวิชาวิศวกรรมระบบการผลิต,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
